Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
09-03-2021,EQ,1179.95,1179.95,1135,1171.6,1167,1166.2,1162.78,1220,111.9,332177,386248154.6,17754
10-03-2021,EQ,1165.5,1192.1,1165.5,1166.2,1184.05,1185.65,1182.49,1220,111.9,483563,571807300.8,20340
12-03-2021,EQ,1200,1200,1154.2,1185.65,1158.65,1160.6,1176.11,1220,111.9,296923,349215118.6,18732
15-03-2021,EQ,1179,1205,1135.25,1160.6,1205,1193.1,1176.26,1220,111.9,453478,533408133.7,23624
16-03-2021,EQ,1209.9,1244.4,1206.3,1193.1,1220,1219.8,1223.64,1244.4,111.9,648757,793845509.4,25603
17-03-2021,EQ,1229.85,1240,1158.85,1219.8,1163,1164.3,1186.01,1244.4,111.9,407312,483075407.3,26493
18-03-2021,EQ,1179.4,1183,1120.1,1164.3,1142,1135.85,1152.09,1244.4,111.9,269255,310205737.3,18164
19-03-2021,EQ,1129.9,1192.6,1081.1,1135.85,1192.6,1192.6,1157.77,1244.4,111.9,622620,720852126.4,41971
22-03-2021,EQ,1252.2,1252.2,1234.95,1192.6,1252.2,1252.2,1251.22,1252.2,128.5,382028,478002262.4,9537
23-03-2021,EQ,1309,1314.8,1282,1252.2,1308,1313.65,1312.51,1314.8,128.5,2252589,2956537216,36168
24-03-2021,EQ,1297.2,1340,1268,1313.65,1293,1291.35,1303.06,1340,128.5,1159456,1510840243,60320
25-03-2021,EQ,1300,1300,1226.8,1291.35,1226.8,1226.8,1240.7,1340,128.5,436451,541506866.2,22875
26-03-2021,EQ,1215,1260,1178.2,1226.8,1212.95,1212.35,1205.46,1340,128.5,436902,526667722.7,32707
30-03-2021,EQ,1216.05,1230,1151.75,1212.35,1151.75,1157.65,1184.89,1340,141.35,737621,874002384.8,43976
31-03-2021,EQ,1157.65,1157.65,1099.8,1157.65,1099.8,1104.85,1119.19,1340,141.35,779163,872032465.1,49423
01-04-2021,EQ,1104.9,1160.05,1104.9,1104.85,1160.05,1160.05,1147.17,1340,141.35,523216,600219999,24357
05-04-2021,EQ,1165,1210,1125.05,1160.05,1169,1164.2,1175.82,1340,151.55,822644,967282780.7,47039
06-04-2021,EQ,1175.9,1209,1170.1,1164.2,1203,1194.45,1191.74,1340,151.55,574032,684099040.4,32112
07-04-2021,EQ,1215,1223.5,1164,1194.45,1195,1196.2,1193.82,1340,151.55,572004,682868673.1,31593
08-04-2021,EQ,1177,1196.15,1160,1196.2,1160.95,1165.5,1172.37,1340,151.55,462142,541801425,27711
09-04-2021,EQ,1179.8,1185,1130,1165.5,1142,1142.75,1149.83,1340,151.55,526463,605344763,36990
12-04-2021,EQ,1129.95,1129.95,1085.65,1142.75,1085.65,1085.65,1091.43,1340,167.05,313902,342603033.2,21632
13-04-2021,EQ,1085.4,1138,1035.15,1085.65,1105,1116.05,1083.33,1340,167.05,888788,962848066.3,59121
15-04-2021,EQ,1115.95,1144,1085.4,1116.05,1119,1122.7,1113.8,1340,167.05,786223,875693956.5,46327
16-04-2021,EQ,1122.7,1148,1099,1122.7,1104.95,1108.6,1125.6,1340,167.05,494736,556875160.1,30913
19-04-2021,EQ,1088,1108,1053.2,1108.6,1053.2,1056.35,1066.67,1340,184.75,563766,601349999.1,31999
20-04-2021,EQ,1060,1086,1037,1056.35,1042,1043.95,1055.48,1340,184.75,477549,504043622.7,25726
22-04-2021,EQ,1043.95,1054,1008,1043.95,1027,1030.45,1031.99,1340,184.75,434346,448240565.5,29140
23-04-2021,EQ,1027,1064.95,1027,1030.45,1053.5,1052.4,1047.45,1340,184.75,363924,381191799.3,20585
26-04-2021,EQ,1060.35,1062.95,1045,1052.4,1051,1049.25,1051.47,1340,192,226465,238120523.1,14647
27-04-2021,EQ,1064,1064,1044.05,1049.25,1056.2,1054.6,1053.23,1340,192,204814,215715872.5,14813
28-04-2021,EQ,1065,1065,1044.6,1054.6,1054,1054.7,1057.56,1340,192,273943,289711809.3,21037
